2d10* + Skill_Att >= 10 + Skill_Def

Delta Skill    Hit Prob    Avg Prec on Hit    Avg Prec Damage
    -10         6.92           3.95               0.27
     -9         8.33           4.11               0.34
     -8         10.02           4.25               0.43
     -7         11.81           4.45               0.53
     -6         14.41           4.47               0.64
     -5         17.80           4.43               0.79
     -4         21.95           4.40               0.97
     -3         26.96           4.40               1.19
     -2         32.79           4.44               1.46
     -1         39.52           4.51               1.78
      0         46.83           4.65               2.18
      1         55.11           4.80               2.65
      2         64.15           4.98               3.20
      3         72.11           5.32               3.84
      4         79.06           5.77               4.56
      5         85.09           6.29               5.35
      6         90.04           6.89               6.20
      7         94.05           7.55               7.10
      8         97.02           8.29               8.04
      9         99.03           9.10               9.01
     10         100.00           10.00               10.00

2d10* + Skill_Att >= 2d10* + Skill_Def

Delta Skill    Hit Prob    Avg Prec on Hit    Avg Prec Damage
    -10         10.64           4.33               0.46
     -9         12.93           4.38               0.57
     -8         15.66           4.45               0.70
     -7         18.87           4.52               0.85
     -6         22.57           4.62               1.04
     -5         26.74           4.74               1.27
     -4         31.36           4.89               1.53
     -3         36.37           5.08               1.85
     -2         41.69           5.31               2.21
     -1         47.20           5.57               2.63
      0         52.80           5.87               3.10
      1         58.31           6.22               3.63
      2         63.63           6.62               4.21
      3         68.64           7.06               4.85
      4         73.26           7.56               5.53
      5         77.43           8.09               6.27
      6         81.13           8.68               7.04
      7         84.34           9.31               7.85
      8         87.07           9.99               8.70
      9         89.36           10.71               9.57
     10         91.27           11.46               10.46
